City,Country,Max Temp,Humidity,Cloudiness,Wind Speed,Lat,Lng,Current Description
Cidreira,BR,70.57,62,0,11.86,-30.1811,-50.2056,few clouds
Tiksi,RU,19.24,99,100,2.06,71.6872,128.8694,few clouds
Carnarvon,AU,68.0,73,100,9.22,-24.8667,113.6333,few clouds
Lappeenranta,FI,36.0,48,0,2.3,61.0587,28.1887,few clouds
Nikolskoye,RU,41.0,60,20,6.71,59.7035,30.7861,few clouds
Zbarazh,UA,55.78,88,70,6.26,49.6636,25.7762,few clouds
Klaksvik,FO,37.4,87,20,1.14,62.2266,-6.589,few clouds
Boshnyakovo,RU,31.77,88,100,9.6,49.6333,142.1667,few clouds
Karratha,AU,79.47,59,6,5.41,-20.7377,116.8463,few clouds
Hilo,US,77.0,65,40,3.44,19.7297,-155.09,few clouds
Khatanga,RU,18.16,99,83,2.28,71.9667,102.5,few clouds
Ulaanbaatar,MN,46.4,19,40,26.84,47.9077,106.8832,few clouds
Tiarei,PF,84.2,65,40,8.05,-17.5333,-149.3333,few clouds
Nhulunbuy,AU,75.2,88,40,3.44,-12.2333,136.7667,few clouds
Busselton,AU,55.99,96,14,3.15,-33.65,115.3333,few clouds
Batagay,RU,28.29,86,100,3.62,67.6333,134.6333,few clouds
Punta Arenas,CL,44.6,76,40,8.05,-53.15,-70.9167,few clouds
Jamestown,US,59.0,26,1,13.8,42.097,-79.2353,few clouds
Lusambo,CD,71.44,96,100,2.53,-4.9667,23.45,few clouds
Saint-Pierre,RE,75.2,78,0,5.75,-21.3393,55.4781,few clouds
Ushuaia,AR,44.6,70,20,3.44,-54.8,-68.3,few clouds
Tessalit,ML,94.14,17,18,11.7,20.1986,1.0114,few clouds
Avarua,CK,78.8,78,75,9.22,-21.2078,-159.775,few clouds
Oranjestad,AW,84.2,70,75,14.97,12.524,-70.027,few clouds
Ghanzi,BW,65.32,24,0,8.32,-21.5667,21.7833,few clouds
Broome,US,55.99,35,1,9.22,42.2506,-75.833,few clouds
Hithadhoo,MV,84.38,69,81,5.48,-0.6,73.0833,few clouds
Pevek,RU,9.0,94,100,8.48,69.7008,170.3133,few clouds
Ilulissat,GL,46.4,34,1,10.36,69.2167,-51.1,few clouds
Fort Nelson,CA,48.2,53,75,10.36,58.8053,-122.7002,few clouds
Bambous Virieux,MU,75.0,94,20,4.61,-20.3428,57.7575,few clouds
Puerto Ayora,EC,82.4,65,40,20.71,-0.7393,-90.3518,few clouds
Fukuchiyama,JP,55.0,81,9,1.99,35.3,135.1167,few clouds
Rikitea,PF,76.21,80,98,12.91,-23.1203,-134.9692,few clouds
Mehamn,NO,33.39,82,100,16.02,71.0357,27.8492,few clouds
Aswan,EG,92.05,11,0,10.58,24.0934,32.907,few clouds
Danjiangkou,CN,64.35,63,11,4.56,32.5428,111.5086,few clouds
Masoko,TZ,66.94,96,92,2.55,-9.3333,33.75,few clouds
Bell Ville,AR,78.01,46,0,5.01,-32.6259,-62.6887,few clouds
Yangambi,CD,69.48,99,99,2.1,0.8102,24.4336,few clouds
Bundi,IN,87.3,25,85,6.87,25.4417,75.6417,few clouds
Tasiilaq,GL,28.4,86,90,2.3,65.6145,-37.6368,few clouds
Hobart,AU,57.2,62,100,10.36,-42.8794,147.3294,few clouds
Hermanus,ZA,59.0,76,98,9.95,-34.4187,19.2345,few clouds
Bredasdorp,ZA,50.0,93,100,2.3,-34.5322,20.0403,few clouds
Prince Rupert,CA,48.2,81,90,6.91,54.3161,-130.3201,few clouds
Lubao,PH,80.6,83,75,4.61,14.9167,120.55,few clouds
Katsuura,JP,64.0,78,0,15.99,35.1333,140.3,few clouds
Shagamu,NG,86.0,74,20,9.22,6.8432,3.6478,few clouds
Marawi,PH,75.0,90,8,5.99,7.9986,124.2928,few clouds
Kerteminde,DK,46.0,47,99,7.0,55.449,10.6577,few clouds
Tsaratanana,MG,74.23,81,5,6.29,-16.7833,47.65,few clouds
Maceio,BR,80.6,69,40,10.36,-9.6658,-35.7353,few clouds
Qaanaaq,GL,34.93,71,76,3.47,77.484,-69.3632,few clouds
Vostok,RU,29.41,91,11,2.21,46.4856,135.8833,few clouds
Airai,TL,56.08,87,83,3.02,-8.9266,125.4092,few clouds
Albany,US,55.99,33,7,12.1,42.6001,-73.9662,few clouds
Leningradskiy,RU,15.12,87,100,21.14,69.3833,178.4167,few clouds
Narsaq,GL,50.0,22,6,34.52,60.9167,-46.05,few clouds
Guerrero Negro,MX,75.0,50,12,12.84,27.9769,-114.0611,few clouds
Ust-Barguzin,RU,33.91,94,100,5.77,53.45,108.9833,few clouds
Half Moon Bay,US,66.99,100,90,16.11,37.4636,-122.4286,few clouds
Ransang,PH,78.98,83,15,3.04,8.9603,117.5828,few clouds
Zhigansk,RU,28.06,98,100,8.19,66.7697,123.3711,few clouds
Arraial Do Cabo,BR,73.4,73,75,5.75,-22.9661,-42.0278,few clouds
Cape Town,ZA,61.0,82,0,8.05,-33.9258,18.4232,few clouds
Kapaa,US,78.8,73,20,12.66,22.0752,-159.319,few clouds
Longyearbyen,SJ,19.4,63,20,12.66,78.2186,15.6401,few clouds
Bluff,NZ,48.0,86,15,5.01,-46.6,168.3333,few clouds
Santa Cruz Del Sur,CU,85.82,54,100,12.73,20.7147,-77.9956,few clouds
Siljan,NO,46.0,77,35,3.11,59.2884,9.71,few clouds
Kanigoro,ID,73.02,93,73,2.64,-8.13,112.219,few clouds
Grootfontein,NA,66.2,72,66,2.3,-19.5667,18.1167,few clouds
Mandalgovi,MN,45.54,30,98,18.57,45.7625,106.2708,few clouds
Rasra,IN,87.3,32,6,10.98,25.85,83.85,few clouds
Georgetown,MY,78.8,89,40,4.61,5.4112,100.3354,few clouds
Hay River,CA,26.6,86,100,10.36,60.8156,-115.7999,few clouds
Shelburne,CA,59.0,34,98,18.14,44.0787,-80.2041,few clouds
Faanui,PF,80.62,68,11,3.44,-16.4833,-151.75,few clouds
Praia,CV,73.4,68,20,23.02,14.9215,-23.5087,few clouds
Joshimath,IN,57.94,61,90,6.96,30.5667,79.5667,few clouds
Santa Marta,CO,93.0,54,17,1.99,11.2408,-74.199,few clouds
Vila Velha,BR,77.0,65,40,9.22,-20.3297,-40.2925,few clouds
Clyde River,CA,19.4,100,75,2.42,70.4692,-68.5914,few clouds
Aasiaat,GL,34.84,73,22,8.9,68.7098,-52.8699,few clouds
Svetlogorsk,BY,48.72,79,100,5.46,52.6333,29.7333,few clouds
Hofn,IS,38.14,67,100,17.05,64.2539,-15.2082,few clouds
Atuona,PF,78.66,73,0,9.46,-9.8,-139.0333,few clouds
Krasavino,RU,33.51,65,0,6.38,60.9614,46.4814,few clouds
Kloulklubed,PW,78.8,89,90,9.22,7.0419,134.2556,few clouds
Warmbad,NA,64.31,25,0,11.5,-28.45,18.7333,few clouds
Dikson,RU,23.45,92,100,5.21,73.5069,80.5464,few clouds
Chokurdakh,RU,0.81,99,95,3.83,70.6333,147.9167,few clouds
Puerto Escondido,MX,86.0,70,40,8.05,15.85,-97.0667,few clouds
Mataura,NZ,48.0,86,5,5.01,-46.1927,168.8643,few clouds
Berlevag,NO,33.26,86,100,21.77,70.8578,29.0864,few clouds
New Norfolk,AU,54.0,61,100,2.86,-42.7826,147.0587,few clouds
Castro,BR,68.52,68,91,2.08,-24.7911,-50.0119,few clouds
Voyvozh,RU,32.7,91,9,8.77,62.892,54.9635,few clouds
Lebu,CL,54.97,93,100,12.33,-37.6167,-73.65,few clouds
Owando,CG,72.68,95,100,2.37,-0.4819,15.8999,few clouds
Kavaratti,IN,85.51,71,11,5.93,10.5669,72.642,few clouds
Adrar,MR,90.75,19,21,14.58,20.5022,-10.0711,few clouds
Quatre Cocos,MU,75.0,94,20,4.61,-20.2078,57.7625,few clouds
Nanortalik,GL,41.04,54,9,12.68,60.1432,-45.2371,few clouds
Provideniya,RU,23.4,60,25,5.48,64.3833,-173.3,few clouds
Broken Hill,AU,59.0,51,0,9.22,-31.95,141.4333,few clouds
Hilton Head Island,US,75.0,49,1,8.05,32.2163,-80.7526,few clouds
Iwanai,JP,39.69,82,100,7.31,42.9744,140.5089,few clouds
Bridlington,GB,44.6,65,75,5.75,54.0831,-0.1919,few clouds
Saldanha,ZA,60.8,55,0,5.75,-33.0117,17.9442,few clouds
San Angelo,US,66.99,88,90,6.91,31.4638,-100.437,few clouds
Samarai,PG,79.95,81,48,10.36,-10.6167,150.6667,few clouds
Anchorage,US,43.0,39,1,4.61,61.2181,-149.9003,few clouds
Cayenne,GF,86.0,66,0,13.8,4.9333,-52.3333,few clouds
Butaritari,KI,82.63,76,99,11.81,3.0707,172.7902,few clouds
Road Town,VG,84.2,65,40,11.5,18.4167,-64.6167,few clouds
San Patricio,US,77.0,94,90,16.11,28.017,-97.5169,few clouds
Yellowknife,CA,28.99,63,20,10.36,62.456,-114.3525,few clouds
Amapa,BR,75.06,97,100,3.65,1.0,-52.0,few clouds
Sambava,MG,77.43,85,14,6.69,-14.2667,50.1667,few clouds
La Libertad,EC,82.4,65,0,9.22,-2.2333,-80.9,few clouds
Chapais,CA,42.8,36,1,13.8,49.7834,-74.8492,few clouds
Herat,AF,71.6,49,75,3.44,34.5,62.0,few clouds
La Asuncion,VE,95.0,49,99,18.41,11.0333,-63.8628,few clouds
Biak,ID,76.42,85,93,4.34,-0.9131,122.8766,few clouds
Sisimiut,GL,38.08,72,4,4.99,66.9395,-53.6735,few clouds
Hovd,MN,43.47,29,1,6.06,48.0056,91.6419,few clouds
Riyadh,SA,89.6,12,0,6.91,24.6877,46.7219,few clouds
Buala,SB,78.94,79,100,0.85,-8.145,159.5921,few clouds
Santarem,BR,84.2,79,75,10.36,-2.4431,-54.7083,few clouds
Yar-Sale,RU,21.6,93,100,12.39,66.8333,70.8333,few clouds
Port Hardy,CA,50.0,76,75,5.75,50.6996,-127.4199,few clouds
Nadigaon,IN,93.22,18,99,7.65,26.1167,79.0333,few clouds
Kaitangata,NZ,48.99,67,0,5.99,-46.2817,169.8464,few clouds
Waingapu,ID,77.85,82,35,8.68,-9.6567,120.2641,few clouds
Burns Lake,CA,50.0,50,21,8.05,54.2331,-125.7533,few clouds
Port Blair,IN,82.98,75,100,4.41,11.6667,92.75,few clouds
Fortuna,US,54.0,100,75,14.97,40.5982,-124.1573,few clouds
Egvekinot,RU,16.21,78,100,2.51,66.3167,-179.1667,few clouds
Tchollire,CM,91.06,28,56,3.02,8.4022,14.1698,few clouds
Chapar,IN,78.33,50,50,0.98,26.2667,90.4667,few clouds
Solnechnyy,RU,32.18,92,100,7.83,50.7214,136.6319,few clouds
Gazanjyk,TM,75.79,31,68,13.91,39.2446,55.5154,few clouds
Krasnoselkup,RU,25.79,95,27,8.16,65.7,82.4667,few clouds
Vao,NC,74.3,74,100,27.2,-22.6667,167.4833,few clouds
Ust-Tsilma,RU,35.58,76,100,12.08,65.441,52.1498,few clouds
Kruisfontein,ZA,53.01,85,0,2.28,-34.0033,24.7314,few clouds
Taga,RO,68.0,77,75,1.83,46.95,24.05,few clouds
Severo-Kurilsk,RU,35.74,97,100,22.84,50.6789,156.125,few clouds
Alofi,NU,73.4,100,4,1.14,-19.0595,-169.9187,few clouds
Cherskiy,RU,4.71,94,48,2.3,68.75,161.3,few clouds
Thompson,CA,21.2,86,90,9.22,55.7435,-97.8558,few clouds
Ketchikan,US,48.2,93,90,6.91,55.3422,-131.6461,few clouds
Fairbanks,US,37.0,51,90,4.61,64.8378,-147.7164,few clouds
Codrington,AU,59.4,76,100,10.09,-38.2667,141.9667,few clouds
Kyzyl-Suu,KG,49.12,73,100,4.29,42.3414,78.0056,few clouds
Touros,BR,84.2,61,20,13.8,-5.1989,-35.4608,few clouds
Yumen,CN,62.83,31,98,15.26,40.2833,97.2,few clouds
Chuy,UY,73.09,55,4,5.39,-33.6971,-53.4616,few clouds
Grindavik,IS,44.6,49,40,12.66,63.8424,-22.4338,few clouds
Hamilton,US,69.01,34,1,13.8,39.1834,-84.5333,few clouds
Sangamner,IN,81.21,45,14,5.21,19.5667,74.2167,few clouds
Yinchuan,CN,67.14,25,100,5.14,38.4681,106.2731,few clouds
Debre Birhan,ET,53.62,87,100,4.43,9.6833,39.5333,few clouds
Falmouth,GB,50.0,57,20,8.97,50.1544,-5.0711,few clouds
Erenhot,CN,44.73,23,87,18.28,43.6475,111.9767,few clouds
Boralday,KZ,46.4,93,40,2.24,43.3578,76.8594,few clouds
Port-Gentil,GA,84.2,79,20,6.91,-0.7193,8.7815,few clouds
Talaya,RU,26.58,95,100,1.28,61.3833,152.75,few clouds
Saskylakh,RU,29.98,97,100,2.33,71.9167,114.0833,few clouds
Wilmington Island,US,77.0,44,20,12.66,32.0036,-80.9737,few clouds
Port Alfred,ZA,61.95,68,0,3.38,-33.5906,26.891,few clouds
Hinton,CA,46.4,39,100,8.05,53.4001,-117.5857,few clouds
Nara,JP,57.99,70,30,5.99,34.6851,135.8049,few clouds
Maksatikha,RU,37.94,80,72,3.91,57.797,35.8825,few clouds
Mahebourg,MU,73.4,94,20,4.61,-20.4081,57.7,few clouds
Tuatapere,NZ,48.0,86,0,5.01,-46.1333,167.6833,few clouds
Ostrovnoy,RU,25.93,77,100,14.61,68.0531,39.5131,few clouds
Boende,CD,71.01,98,94,3.09,-0.2167,20.8667,few clouds
Sao Filipe,CV,72.79,74,1,11.88,14.8961,-24.4956,few clouds
Flin Flon,CA,51.8,50,20,9.22,54.7682,-101.865,few clouds
San Cristobal,VE,86.0,58,40,6.91,7.7669,-72.225,few clouds
Yerbogachen,RU,26.42,98,100,2.86,61.2767,108.0108,few clouds
Mar Del Plata,AR,72.0,49,0,14.97,-38.0023,-57.5575,few clouds
Vaini,TO,75.2,83,75,13.8,-21.2,-175.2,few clouds
Tuktoyaktuk,CA,14.0,92,90,8.05,69.4541,-133.0374,few clouds
Maumere,ID,79.0,79,100,2.35,-8.6199,122.2111,few clouds
Brekstad,NO,41.0,65,20,8.05,63.687,9.6654,few clouds
Mirador,BR,86.83,58,24,3.56,-6.3708,-44.3631,few clouds
Nioro,GM,96.49,20,3,10.22,13.35,-15.75,few clouds
Bengkulu,ID,75.51,89,85,4.52,-3.8004,102.2655,few clouds
Saint-Philippe,RE,75.2,78,0,5.75,-21.3585,55.7679,few clouds
Arlit,NE,94.05,4,0,6.42,18.7369,7.3853,few clouds
Nakasongola,UG,66.94,88,84,5.39,1.3089,32.4564,few clouds
Linxia,CN,58.87,43,100,3.36,35.6003,103.2064,few clouds
Barrow,US,21.2,86,90,9.22,71.2906,-156.7887,few clouds
Camana,PE,70.74,71,100,9.62,-16.6228,-72.7111,few clouds
Pitsunda,GE,53.6,94,1,4.47,43.1592,40.3378,few clouds
Ahipara,NZ,54.27,78,0,7.45,-35.1667,173.1667,few clouds
Ilovlya,RU,57.2,88,0,6.71,49.3033,43.9796,few clouds
Dunedin,NZ,47.57,51,5,6.91,-45.8742,170.5036,few clouds
Qui Nhon,VN,76.84,88,7,4.29,13.7667,109.2333,few clouds
Tokur,RU,25.11,96,100,4.34,53.1333,132.9,few clouds
Husavik,IS,35.6,69,75,14.97,66.0449,-17.3389,few clouds
Coihaique,CL,50.0,71,75,4.61,-45.5752,-72.0662,few clouds
Okhotsk,RU,31.44,88,99,0.72,59.3833,143.3,few clouds
Belawan,ID,77.0,94,40,3.44,3.7755,98.6832,few clouds
Wanning,CN,77.9,88,14,5.64,18.8003,110.3967,few clouds
Grimshaw,CA,51.8,43,75,5.75,56.1834,-117.6027,few clouds
San Quintin,MX,68.27,65,100,15.77,30.4833,-115.95,few clouds
Saint-Joseph,RE,75.2,78,0,5.75,-21.3667,55.6167,few clouds
Antofagasta,CL,71.01,68,0,13.8,-23.65,-70.4,few clouds
Upernavik,GL,33.12,76,15,4.14,72.7868,-56.1549,few clouds
Pahrump,US,86.0,15,100,5.01,36.2083,-115.9839,few clouds
Namatanai,PG,78.67,81,36,2.62,-3.6667,152.4333,few clouds
Morant Bay,JM,86.0,66,20,19.57,17.8815,-76.4093,few clouds
Ponta Do Sol,PT,63.0,61,57,3.0,32.6667,-17.1,few clouds
Bonavista,CA,46.4,87,46,10.36,48.6499,-53.1147,few clouds
Kidal,ML,96.48,10,0,6.73,18.4411,1.4078,few clouds
Novouzensk,RU,57.16,73,90,6.76,50.4592,48.1431,few clouds
Foam Lake,CA,66.2,22,27,4.61,51.65,-103.5343,few clouds
Tura,IN,71.73,71,14,4.72,25.5198,90.2201,few clouds
Nanakuli,US,80.6,64,40,12.66,21.3906,-158.1547,few clouds
Edson,CA,51.8,28,40,19.57,53.5835,-116.4356,few clouds
Kangaatsiaq,GL,34.21,73,20,14.23,68.3065,-53.4641,few clouds
Setermoen,NO,30.2,86,90,3.44,68.861,18.3486,few clouds
Kharitonovo,RU,34.56,67,6,8.52,61.4009,47.4978,few clouds
Mananjary,MG,75.43,90,36,6.73,-21.2167,48.3333,few clouds
Tahoua,NE,104.0,5,0,2.3,14.8888,5.2692,few clouds
Nacozari,MX,88.0,40,0,1.99,25.3366,-108.2574,few clouds
Roebourne,AU,79.32,53,6,6.2,-20.7833,117.1333,few clouds
Malayal,PH,80.6,94,90,3.44,7.208,121.942,few clouds
Kitimat,CA,50.0,79,100,1.99,54.0524,-128.6534,few clouds
Zambrano,CO,92.25,46,100,0.58,9.7472,-74.8153,few clouds
Sabzevar,IR,71.37,44,100,18.75,36.2126,57.6819,few clouds
Goderich,CA,50.0,43,100,16.11,43.7501,-81.7165,few clouds
Jalu,LY,92.59,9,0,10.04,29.0331,21.5482,few clouds
Salalah,OM,84.2,84,20,4.61,17.0151,54.0924,few clouds
Port Maria,JM,84.0,75,78,10.0,18.3685,-76.8895,few clouds
Constitucion,CL,55.24,94,100,6.02,-35.3333,-72.4167,few clouds
Pacific Grove,US,60.01,77,90,11.5,36.6177,-121.9166,few clouds
Hualmay,PE,72.21,73,70,9.89,-11.0964,-77.6139,few clouds
Bilma,NE,90.48,4,0,5.55,18.6853,12.9164,few clouds
Ixtapa,MX,82.4,61,1,10.36,20.7,-105.2,few clouds
Beringovskiy,RU,20.21,87,97,12.64,63.05,179.3167,few clouds
Batemans Bay,AU,55.99,97,100,1.99,-35.7167,150.1833,few clouds
Porbandar,IN,83.37,74,75,8.34,21.6422,69.6093,few clouds
Aldergrove,CA,57.2,67,75,9.22,49.058,-122.4709,few clouds
Whitianga,NZ,51.42,79,0,2.84,-36.8333,175.7,few clouds
Ankazoabo,MG,69.57,84,90,7.56,-22.2833,44.5167,few clouds
Nelson Bay,AU,55.0,100,100,7.83,-32.7167,152.15,few clouds
Baghdad,IQ,78.8,24,0,4.61,33.3406,44.4009,few clouds
Sarkand,KZ,46.85,63,100,5.79,45.41,79.9186,few clouds
Ribeira Grande,PT,62.6,94,75,21.85,38.5167,-28.7,few clouds
Tarko-Sale,RU,27.0,89,100,4.65,64.9225,77.785,few clouds
Tahta,EG,90.88,7,0,14.97,26.7693,31.5021,few clouds
Knokke-Heist,BE,46.4,71,40,12.66,51.3333,3.3333,few clouds
Kieta,PG,78.21,82,29,2.28,-6.2167,155.6333,few clouds
Esperance,AU,51.8,82,0,11.5,-33.8667,121.9,few clouds
Aklavik,CA,23.0,80,90,10.36,68.2191,-135.0107,few clouds
Maragogi,BR,79.92,79,100,10.22,-9.0122,-35.2225,few clouds
Jamiltepec,MX,93.0,33,71,9.95,16.2833,-97.8167,few clouds
Kodiak,US,41.0,75,20,5.75,57.79,-152.4072,few clouds
Talnakh,RU,12.65,89,54,1.05,69.4865,88.3972,few clouds
Dingle,PH,76.6,87,6,6.6,10.9995,122.6711,few clouds
Olga,RU,35.22,95,100,2.66,43.7444,135.2892,few clouds
Baykit,RU,33.46,95,100,4.38,61.67,96.37,few clouds
Eyl,SO,84.47,69,87,9.75,7.9803,49.8164,few clouds
Drinovci,BA,64.4,100,75,5.75,43.355,17.3539,few clouds
Molagavita,CO,78.8,69,40,10.36,6.6732,-72.8087,few clouds
Taber,CA,66.2,26,22,11.5,49.8167,-112.1518,few clouds
East London,ZA,57.2,88,0,6.91,-33.0153,27.9116,few clouds
Avera,US,78.8,31,1,5.75,33.194,-82.5271,few clouds
Kattivakkam,IN,86.0,74,20,3.44,13.2167,80.3167,few clouds
Muros,ES,57.99,48,6,4.0,42.7762,-9.0603,few clouds
Waipawa,NZ,44.6,87,9,6.91,-41.4122,175.5153,few clouds
Sakakah,SA,84.2,9,0,9.22,29.9697,40.2064,few clouds
Zhashkiv,UA,56.62,97,100,9.53,49.2454,30.1102,few clouds
Necochea,AR,72.0,51,72,5.01,-38.5473,-58.7368,few clouds
Kirensk,RU,28.08,97,100,2.13,57.7853,108.1119,few clouds
Lompoc,US,63.0,72,20,19.57,34.6391,-120.4579,few clouds
Caravelas,BR,77.76,61,77,10.33,-17.7125,-39.2481,few clouds
Jina,RO,71.6,46,0,8.05,45.7833,23.6833,few clouds
Tabas,IR,76.73,41,100,4.09,33.5959,56.9244,few clouds
Kavieng,PG,81.52,76,46,4.0,-2.5744,150.7967,few clouds
Shirokiy,RU,43.57,58,100,8.16,49.758,129.523,few clouds
Anito,PH,78.22,87,31,5.17,12.4497,125.2886,few clouds
Margate,GB,46.0,67,44,1.99,51.3813,1.3862,few clouds
Hunxe,DE,50.0,63,100,5.99,51.65,6.7833,few clouds
Hasaki,JP,61.0,94,20,9.22,35.7333,140.8333,few clouds
Mnogovershinnyy,RU,26.49,97,100,5.5,53.9353,139.9242,few clouds
Port Lincoln,AU,61.61,69,100,13.78,-34.7333,135.8667,few clouds
Saint-Denis,FR,51.01,66,0,2.3,48.9167,2.3333,few clouds
Chumikan,RU,29.25,97,100,8.68,54.7183,135.315,few clouds
Yeppoon,AU,64.4,88,97,5.75,-23.1333,150.7333,few clouds
Cabo San Lucas,MX,80.01,65,1,11.5,22.8909,-109.9124,few clouds
Ardakan,IR,77.0,22,0,4.61,32.31,54.0175,few clouds
Bethel,US,61.0,31,1,10.36,41.3712,-73.414,few clouds
Souillac,MU,73.4,94,20,4.61,-20.5167,57.5167,few clouds
Saint Austell,GB,48.2,61,11,10.36,50.3383,-4.7658,few clouds
Asyut,EG,88.66,9,1,9.31,27.181,31.1837,few clouds
Aketi,CD,71.17,88,57,1.48,2.7388,23.7833,few clouds
Mount Isa,AU,64.4,55,7,1.14,-20.7333,139.5,few clouds
Conceicao Da Barra,BR,77.27,63,28,10.16,-18.5933,-39.7322,few clouds
Gornyy,RU,37.99,73,83,3.0,55.1153,83.9059,few clouds
Berezovyy,RU,29.68,88,88,3.56,51.6667,135.7,few clouds
Elmvale,CA,57.2,46,97,9.22,44.5834,-79.8664,few clouds
Bilibino,RU,3.4,85,61,3.4,68.0546,166.4372,few clouds
Sola,VU,80.6,83,90,9.22,-13.8833,167.55,few clouds
Port Elizabeth,ZA,57.2,82,0,3.44,-33.918,25.5701,few clouds
Rawson,AR,67.28,42,100,19.24,-43.3002,-65.1023,few clouds
Along,IN,66.65,89,100,2.8,28.1667,94.7667,few clouds
Ucluelet,CA,54.0,62,20,11.5,48.9329,-125.5528,few clouds
Alyangula,AU,73.4,94,41,4.61,-13.8483,136.4192,few clouds
Kamogawa,JP,64.4,77,20,13.8,35.1,140.1,few clouds
Cozumel,MX,89.6,51,40,13.8,20.5083,-86.9458,few clouds
Sheridan,US,73.4,23,1,3.44,44.8333,-106.9173,few clouds
Riacho De Santana,BR,78.08,52,99,13.47,-13.6092,-42.9389,few clouds
Bahia Blanca,AR,73.47,38,100,9.04,-38.7196,-62.2724,few clouds
Rio Grande,BR,77.0,53,0,13.8,-32.035,-52.0986,few clouds
Norman Wells,CA,41.0,48,20,5.75,65.282,-126.8329,few clouds
Bud,US,70.0,32,1,8.05,39.447,-86.1758,few clouds
Vila Franca Do Campo,PT,60.8,88,75,10.36,37.7167,-25.4333,few clouds
Shahrud,IR,65.1,54,6,9.4,36.4182,54.9763,few clouds
Luanda,AO,78.8,83,20,4.61,-8.8368,13.2343,few clouds
Rosarito,MX,71.6,53,1,10.36,32.3333,-117.0333,few clouds
Miri,MY,77.0,88,40,6.91,4.4148,114.0089,few clouds
Mogadishu,SO,83.26,69,66,12.12,2.0371,45.3438,few clouds
Victoria,HK,79.0,85,95,3.42,22.2855,114.1577,few clouds
Kandalaksha,RU,26.28,79,62,2.33,67.162,32.4123,few clouds
Vardo,NO,33.73,79,100,14.38,70.3705,31.1107,few clouds
